sourceAppId,Non-vertebrate,Vertebrate
u1010160,0,1
u1021716,1,0
u1041,2,1
u1044971,1,0
u1058528,1,0
u1059371,0,1
u1095,5,4
u11178,0,1
u11435,1,0
u11550,0,1
u118068,1,0
u12233,0,1
u123944,3,0
u126467,3,1
u126989,2,0
u12737,0,1
u127846,0,2
u128,4,1
u1297,4,11
u131402,1,0
u13577,0,1
u142278,0,1
u148722,0,1
u1513,2,2
u151385,2,1
u15152,0,1
u1631,2,1
u163316,1,0
u166714,2,1
u16704,4,6
u16775,3,1
u174487,0,1
u179620,2,0
u17974,0,1
u181959,0,1
u18285,1,1
u184946,1,0
u189592,1,0
u19204,1,1
u19341,0,1
u19525,1,0
u198165,0,1
u207044,124,35
u217334,1,0
u217468,1,0
u218034,1,0
u22583,1,0
u230477,1,0
u230586,1,4
u23264,1,2
u2371,0,2
u23818,0,1
u238237,2,1
u23964,2,0
u24052,0,2
u240559,1,1
u240772,3,4
u242765,1,1
u24280,0,1
u250044,2,0
u25022,2,1
u25198,1,1
u255311,1,0
u25668,1,0
u258,3,2
u258874,0,1
u259712,0,1
u2598,4,1
u26157,0,1
u26426,3,1
u26638,0,1
u26958,0,1
u2716,4,1
u273894,1,0
u278844,1,0
u2793,0,2
u2833,5,5
u283774,1,0
u283925,1,1
u285409,1,0
u287478,1,0
u291146,4,1
u291421,1,0
u29609,0,1
u303211,12,8
u3166,0,2
u3234,1,0
u345572,1,0
u351616,0,2
u3548,0,1
u383314,2,0
u38509,0,2
u405,3,2
u45333,0,1
u4537,0,2
u464317,5,2
u4842,4,0
u48874,0,1
u491643,4,3
u501325,0,1
u516495,1,0
u54306,1,0
u547455,1,1
u54781,1,0
u548,0,3
u550,0,1
u5525,0,1
u592303,1,0
u602,5,0
u6048,3,0
u6076,2,1
u618960,1,0
u626280,0,2
u63187,2,0
u632416,1,0
u6438,1,1
u646907,1,1
u6549,1,0
u655859,0,3
u687848,1,0
u691399,1,0
u694014,2,0
u698555,1,0
u703,4,4
u703398,0,1
u708769,0,1
u7106,3,3
u7112,0,1
u71199,2,1
u7120,0,2
u712143,0,1
u718542,1,0
u7256,3,1
u72811,1,0
u741,4,3
u748646,0,1
u7492,1,4
u759354,0,1
u760703,1,3
u761698,1,0
u781489,1,1
u781695,2,0
u792303,1,0
u800160,0,1
u820616,0,1
u823709,2,1
u824,2,1
u829404,1,0
u831531,1,1
u845135,1,1
u850318,0,1
u8555,9,3
u856126,8,3
u8613,2,1
u8719,0,1
u883540,1,0
u9003,2,0
u902785,1,0
u906969,1,0
u914141,1,0
u921774,0,1
u928419,6,4
u943,1,0
u94624,0,1
u948716,1,0
u955577,1,1
u961361,3,4
u975858,0,1
u977953,1,1
u987572,3,1
u99287,1,2
